Date, Open , High , Low , Close , Adj Close , Volume 
3/20/1992," 1,131.22 "," 1,131.22 "," 1,131.22 "," 1,131.22 "," 1,130.93 ", -   
3/23/1992," 1,115.41 "," 1,115.41 "," 1,115.41 "," 1,115.41 "," 1,115.12 ", -   
3/24/1992," 1,111.02 "," 1,111.02 "," 1,111.02 "," 1,111.02 "," 1,110.73 ", -   
3/25/1992," 1,100.00 "," 1,100.00 "," 1,100.00 "," 1,100.00 "," 1,099.72 ", -   
3/26/1992," 1,102.91 "," 1,102.91 "," 1,102.91 "," 1,102.91 "," 1,102.63 ", -   
3/27/1992," 1,097.53 "," 1,097.53 "," 1,097.53 "," 1,097.53 "," 1,097.25 ", -   
3/30/1992," 1,099.69 "," 1,099.69 "," 1,099.69 "," 1,099.69 "," 1,099.41 ", -   
3/31/1992," 1,105.73 "," 1,105.73 "," 1,105.73 "," 1,105.73 "," 1,105.45 ", -   
4/1/1992," 1,109.93 "," 1,109.93 "," 1,109.93 "," 1,109.93 "," 1,109.64 ", -   
4/2/1992," 1,111.11 "," 1,111.11 "," 1,111.11 "," 1,111.11 "," 1,110.82 ", -   
4/3/1992," 1,121.97 "," 1,121.97 "," 1,121.97 "," 1,121.97 "," 1,121.68 ", -   
